attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Witney & District Museum,SE,Oxfordshire,West Oxfordshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1784,1879,1904,2000,2000,Free,Free,"10,000 or less"
Southend-on-Sea Pier,EAST,ESSEX,Southend-on-Sea,Coastal,Historic Properties,Other Historic Property,270000,250000,283468,319796,296858,Paid,£3.01 to £4.99,"Over 200,000"
Southside House,LON,GREATER LONDON,Merton,Urban,Historic Properties,Historic House / House and Garden / Palace,498,550,590,613,870,Paid,£7.50 to £9.99,"10,000 or less"
Spalding Flower Bulb Museum,EM,Lincolnshire,South Holland,Rural,Other,Other,10000,8000,4986,500,600,Free,Free,"10,000 or less"
"Speke Hall, Gardens & Estate",NW,Merseyside,Liverpool,Urban,Historic Properties,Historic House / House and Garden / Palace,105449,105232,105139,123216,139708,Paid,£7.50 to £9.99,"100,001-200,000"
Spetchley Park Gardens,WM,Worcestershire,Wychavon,Rural,Gardens,Garden,13822,9526,10615,10750,14700,Paid,£5.00 to £7.49,"10,001-20,000"
Spitalfields City Farm,LON,GREATER LONDON,Tower Hamlets,Urban,Farms,Farm / Rare Breeds / Farm Animals,25000,50000,85000,90000,90000,Free,Free,"50,001-100,000"
Spurn Lightship,Y&H,East Riding of Yorkshire,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1213,16391,18068,4929,3556,Free,Free,"10,000 or less"
St Agnes Museum Trust,SW,Cornwall,St Agnes,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,4089,4133,4321,4763,5357,Free,Free,"10,000 or less"
St Albans Clock Tower,EAST,Hertfordshire,St Albans,Urban,Historic Properties,Other Historic Property,5009,5168,8474,7081,11423,Paid,Under £3.00,"10,001-20,000"
"Wesley's Chapel, House and Museum of Methodism",LON,GREATER LONDON,Islington,Urban,Places of Worship,Place of Worship (still in use),11552,11910,13643,14385,15741,Free,Free,"10,001-20,000"
Ampleforth Abbey,Y&H,North Yorkshire,Ryedale,Rural,Places of Worship,Place of Worship (still in use),25000,15000,15000,15000,15000,Free,Free,"10,001-20,000"
St Augustine's Abbey,SE,Kent,Canterbury,Urban,Historic Properties,Historic Monument/ Archaeological Site,14968,12899,17533,18989,17914,Paid,£5.00 to £7.49,"10,001-20,000"
Marlow Museum,SE,Buckinghamshire,Wycombe,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2252,1478,1500,1400,1900,Free,Free,"10,000 or less"
St Bartholomew's Hospital Archives and Museum,LON,GREATER LONDON,City of London,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4140,3760,4496,5041,7435,Free,Free,"10,000 or less"
"Minster Church of St George, Doncaster",Y&H,South Yorkshire,Doncaster,Urban,Places of Worship,Place of Worship (still in use),10900,12323,13702,18581,14445,Free,Free,"10,001-20,000"
Sandham Memorial Chapel,SE,Hampshire,Basingstoke and Deane,Urban,Places of Worship,Place of Worship (still in use),15257,10297,8819,6103,9174,Paid,Charge - DK,"10,000 or less"
St Andrew's Church,EM,Lincolnshire,North Lincolnshire,Rural,Places of Worship,Place of Worship (still in use),3500,2000,2000,7000,7000,Free,Free,"10,000 or less"
All Saints Church,NW,CHESHIRE,Halton,Rural,Places of Worship,Place of Worship (still in use),6000,6000,6000,6000,6000,Free,Free,"10,000 or less"
St Lawrence Chapel (Old Grammar School),SW,Devon,Teignbridge,Urban,Visitor Centres,Heritage / Visitor Centre,358,220,186,672,317,Free,Free,"10,000 or less"
Holy Trinity Church,Y&H,West Yorkshire,Leeds,Urban,Places of Worship,Place of Worship (still in use),5000,5000,7000,5000,5000,Free,Free,"10,000 or less"
Lydd Town Museum,SE,Kent,Shepway,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1884,1589,1755,1548,1759,Free,Free,"10,000 or less"
St Lawrence Jewry-Next-Guildhall,LON,GREATER LONDON,City of London,Urban,Places of Worship,Place of Worship (still in use),4000,5000,5000,5000,5000,Free,Free,"10,000 or less"
St Mary's Guildhall,WM,West Midlands,Coventry,Urban,Historic Properties,Other Historic Property,18700,19700,24236,23994,27670,Free,Free,"20,001-50,000"
St Mawes Castle,SW,Cornwall,Cornwall,Coastal,Historic Properties,Castle / Fort,28415,27277,28282,28869,28165,Paid,£3.01 to £4.99,"20,001-50,000"
Walpole St Peter's Church,EAST,Cambridgeshire,Cambridge,Rural,Places of Worship,Place of Worship (still in use),5000,5000,5000,5000,5000,Free,Free,"10,000 or less"
Princes Road Synagogue,NW,Merseyside,Liverpool,Urban,Places of Worship,Place of Worship (still in use),8000,3400,4400,4565,4673,Paid,£5.00 to £7.49,"10,000 or less"
St Werburgh's City Farm,SW,Bristol,City of Bristol,Urban,Farms,Farm / Rare Breeds / Farm Animals,30000,30000,30000,30000,40000,Free,Free,"20,001-50,000"
Stainsby Mill,EM,DERBYSHIRE,Bolsover,Rural,Historic Properties,Other Historic Property,18188,14269,16000,14910,13349,Paid,Charge - DK,"10,001-20,000"
Staircase House,NW,Greater Manchester,Stockport,Urban,Historic Properties,Historic House / House and Garden / Palace,8172,8655,7665,6821,19177,Paid,£3.01 to £4.99,"10,001-20,000"
Stalham Old Firehouse Museum,EAST,Norfolk,North Norfolk,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1500,1600,1339,1129,939,Free,Free,"10,000 or less"
Standedge Tunnel & Visitor Centre,Y&H,WEST YORKSHIRE,Kirklees,Rural,Visitor Centres,Heritage / Visitor Centre,9625,7480,36000,40000,51768,Paid,£3.01 to £4.99,"50,001-100,000"
Standen,SE,West Sussex,Mid Sussex,Rural,Historic Properties,Historic House / House and Garden / Palace,93243,87987,82981,103337,120022,Paid,£10.00 or over,"100,001-200,000"
Stansted House,SE,West Sussex,Chichester,Rural,Historic Properties,Historic House / House and Garden / Palace,5089,6500,5600,6446,6826,Paid,£7.50 to £9.99,"10,000 or less"
Stansted Park Foundation,SE,Hampshire,Rowland's Castle,Rural,Historic Properties,Historic House / House and Garden / Palace,4690,5067,5606,6446,7144,Paid,£7.50 to £9.99,"10,000 or less"
Staveley Nature Reserve,Y&H,NORTH YORKSHIRE,,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,13566,17876,19876,20000,20000,Free,Free,"10,001-20,000"
Stephenson Railway Museum,NE,Tyne and Wear,North Tyneside,Urban,Museums & Art Galleries,Museum and / or Art Gallery,24552,30878,37211,37894,44457,Free,Free,"20,001-50,000"
Stepping Stones Farm,LON,GREATER LONDON,Tower Hamlets,Urban,Farms,Farm / Rare Breeds / Farm Animals,21344,24765,25000,30000,60000,Free,Free,"50,001-100,000"
Stock Gaylard House & Garden,SW,Dorset,North Dorset,Rural,Historic Properties,Historic House / House and Garden / Palace,253,333,264,277,200,Paid,£5.00 to £7.49,"10,000 or less"
Stockport Art Gallery,NW,Greater Manchester,Stockport,Urban,Museums & Art Galleries,Museum and / or Art Gallery,13108,10750,12655,13634,15545,Free,Free,"10,001-20,000"
Cobham Wood and Mausoleum,SE,Kent,Gravesham,Rural,Historic Properties,Other Historic Property,1654,1937,2013,2068,1682,Free,Free,"10,000 or less"
Stokesay Castle,WM,Shropshire,Shropshire,Rural,Historic Properties,Castle / Fort,40660,34404,35040,38777,39674,Paid,£5.00 to £7.49,"20,001-50,000"
Stoneacre,SE,Kent,Maidstone,Rural,Historic Properties,Historic House / House and Garden / Palace,2838,3845,2459,2807,2326,Paid,Charge - DK,"10,000 or less"
Stonebridge City Farm,EM,Nottinghamshire,Nottingham City,Urban,Farms,Farm / Rare Breeds / Farm Animals,54000,54000,70000,70000,87500,Free,Free,"50,001-100,000"
Stonehenge,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,1099656,1043756,1241296,1346177,1366765,Paid,£10.00 or over,"Over 200,000"
Stott Park Bobbin Mill,NW,Cumbria,South Lakeland,Rural,Historic Properties,Other Historic Property,4831,6879,8471,9730,9030,Paid,£5.00 to £7.49,"10,000 or less"
Stourhead House and Garden,SW,Wiltshire,Wiltshire,Rural,Gardens,Garden,392186,352052,386423,395406,423332,Paid,£10.00 or over,"Over 200,000"
Stowe Landscape Gardens,SE,Buckinghamshire,Aylesbury Vale,Rural,Gardens,Garden,145000,160000,145980,165005,174915,Paid,£10.00 or over,"100,001-200,000"
Streetlife Museum,Y&H,EAST RIDING OF YORKSHIRE,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,87366,83171,100094,127824,134947,Free,Free,"100,001-200,000"
Strutt's North Mill,EM,Derbyshire,Amber Valley,Rural,Museums & Art Galleries,Museum and / or Art Gallery,7546,8000,8000,7987,7725,Paid,£3.01 to £4.99,"10,000 or less"
Sturminster Newton Mill,SW,Dorset,North Dorset,Rural,Historic Properties,Other Historic Property,2113,2093,2477,2176,1868,Paid,Under £3.00,"10,000 or less"
Sturminster Newton Museum,SW,Dorset,North Dorset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2947,2395,2132,2011,1892,Free,Free,"10,000 or less"
Sudbury Hall,EM,Derbyshire,Derbyshire Dales,Rural,Historic Properties,Historic House / House and Garden / Palace,166031,152966,143965,153331,160058,Paid,£10.00 or over,"100,001-200,000"
Sudley House,NW,Merseyside,Liverpool,Urban,Historic Properties,Historic House / House and Garden / Palace,66851,65140,55750,55010,46194,Free,Free,"20,001-50,000"
Sufton Court,WM,HEREFORDSHIRE,Herefordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,45,67,68,70,72,Paid,£5.00 to £7.49,"10,000 or less"
Sunderland Museum and Winter Gardens,NE,Tyne and Wear,Sunderland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,329737,302190,341845,334802,322412,Free,Free,"Over 200,000"
Sunnycroft,WM,Shropshire,Telford and Wrekin,Urban,Historic Properties,Historic House / House and Garden / Palace,18137,17919,17990,19939,20348,Paid,£5.00 to £7.49,"20,001-50,000"
Surrey and Hampshire Canal Cruises Ltd,SE,Hampshire,Hart,Rural,Other,Other Historic / Scenic transport operator,5400,5000,5567,6189,6515,Paid,£7.50 to £9.99,"10,000 or less"
Sussex Farm Museum & Nature Trails,SE,East Sussex,Wealden,Rural,Museums & Art Galleries,Museum and / or Art Gallery,377,300,200,250,250,Paid,Under £3.00,"10,000 or less"
Sussex Prairies,SE,West Sussex,Horsham,Rural,Gardens,Garden,9876,10000,20000,20000,20000,Paid,£5.00 to £7.49,"10,001-20,000"
Sutton Bank National Park Centre,Y&H,North Yorkshire,Ryedale,Rural,Visitor Centres,Heritage / Visitor Centre,95582,87126,93625,109871,114156,Free,Free,"100,001-200,000"
Sutton Hoo Anglo-Saxon Burial Mounds,EAST,Suffolk,Suffolk Coastal,Rural,Historic Properties,Historic Monument / Archaeological Site,101298,85000,98766,103337,101216,Paid,£7.50 to £9.99,"100,001-200,000"
Sutton House (NT),LON,Greater London,Hackney,Rural,Historic Properties,Historic House / House and Garden / Palace,11451,17464,21038,24972,28920,Paid,£3.01 to £4.99,"20,001-50,000"
Swaffham Museum,EAST,Norfolk,Breckland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1093,2343,2432,2500,2600,Paid,Under £3.00,"10,000 or less"
Nutley Mill,SE,East Sussex,Wealden,Rural,Workplace,Industrial / Craft Workplace,1554,1113,1635,1230,1548,Free,Free,"10,000 or less"
Swarthmoor Hall,NW,Cumbria,South Lakeland,Rural,Historic Properties,Historic House / House and Garden / Palace,1278,1049,1800,1765,1554,Paid,£5.00 to £7.49,"10,000 or less"
Talland School of Equitation,SW,Gloucestershire,Cotswold,Rural,Other,Other,9464,10383,11393,12000,12200,Paid,£10.00 or over,"10,001-20,000"
Tate Britain,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1488358,1534781,1378272,1357878,1284519,Free,Free,"Over 200,000"
Tate Liverpool,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,583412,620124,583118,560855,626410,Free,Free,"Over 200,000"
Tate Modern,LON,Greater London,Southwark,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4840006,5318688,4884939,5785427,4712581,Free,Free,"Over 200,000"
Tate St Ives,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,207061,182400,259679,208346,211920,Paid,Charge - DK,"Over 200,000"
Tattershall Castle,EM,Lincolnshire,East Lindsey,Rural,Historic Properties,Castle / Fort,43136,41230,42006,50532,46334,Paid,£5.00 to £7.49,"20,001-50,000"
Tatton Park,NW,Cheshire,Cheshire East,Rural,Historic Properties,Historic House / House and Garden / Palace,845000,778500,848500,834500,875000,Paid,£5.00 to £7.49,"Over 200,000"
Teapot Island,SE,Kent,Maidstone,Rural,Museums & Art Galleries,Museum and / or Art Gallery,20000,18543,13222,10000,12000,Paid,Under £3.00,"10,001-20,000"
Tehidy Country Park,SW,Cornwall,Cornwall,Rural,Country Parks,Country Park,296000,323000,350000,350000,350000,Free,Free,"Over 200,000"
Telford Wonderland,WM,Shropshire,Telford and Wrekin,Urban,Other,Other,60000,65000,69000,70000,67000,Paid,£7.50 to £9.99,"50,001-100,000"
Tenbury Museum,WM,Worcestershire,Malvern Hills,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1216,887,1020,881,822,Free,Free,"10,000 or less"
Tetbury Police Museum and Courtroom,SW,Gloucestershire,Cotswold,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2000,2150,2779,2157,2663,Free,Free,"10,000 or less"
Thackray Museum,Y&H,West Yorkshire,Leeds,Urban,Museums & Art Galleries,Museum and / or Art Gallery,45000,50000,51795,53075,55486,Paid,£7.50 to £9.99,"50,001-100,000"
Leatherhead and District Local History Museum,SE,Surrey,Mole Valley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1577,1442,1489,1453,1361,Free,Free,"10,000 or less"
Thames Chase Forest Centre,LON,GREATER LONDON,Havering,Urban,Country Parks,Country Park,45000,50000,52000,97000,146521,Free,Free,"100,001-200,000"
St Michael & All Angels Church,NE,Tyne and Wear,Sunderland,Urban,Places of Worship,Place of Worship (still in use),5000,6000,4665,4603,4308,Free,Free,"10,000 or less"
The Aldeburgh Museum,EAST,SUFFOLK,Suffolk Coastal,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,3500,3681,4270,3713,4210,Paid,Under £3.00,"10,000 or less"
The Almonry Museum & Heritage Centre,WM,Worcestershire,Wychavon,Urban,Visitor Centres,Heritage / Visitor Centre,17942,5063,5404,4136,3101,Paid,£5.00 to £7.49,"10,000 or less"
The Bar Convent Museum,Y&H,North Yorkshire,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2114,2464,2017,2170,1200,Paid,£3.01 to £4.99,"10,000 or less"
Chesham Museum,SE,Buckinghamshire,Chiltern,Urban,Museums & Art Galleries,Museum and / or Art Gallery,700,515,469,2106,1328,Free,Free,"10,000 or less"
The Beatles Story,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,249832,250876,251050,251725,252435,Paid,£10.00 or over,"Over 200,000"
The Bowes Museum,NE,County Durham,Durham,Rural,Museums & Art Galleries,Museum and / or Art Gallery,114841,251009,109326,104754,142758,Paid,£10.00 or over,"100,001-200,000"
The Bugatti Trust,SW,Gloucestershire,Cheltenham,Rural,Visitor Centres,Heritage / Visitor Centre,565,564,654,700,800,Paid,Under £3.00,"10,000 or less"
The Buscot and Coleshill Estates,SE,Oxfordshire,Vale of White Horse,Rural,Historic Properties,Historic House / House and Garden / Palace,36248,37621,45569,36957,35560,Paid,Charge - DK,"20,001-50,000"
St Martin's Church,SE,Kent,Canterbury,Urban,Places of Worship,Place of Worship (still in use),1876,2000,2500,2454,2500,Free,Free,"10,000 or less"
The Charles Dickens Museum,LON,Greater London,Camden,Urban,Museums & Art Galleries,Museum and / or Art Gallery,49876,51665,53038,43352,46277,Paid,£7.50 to £9.99,"20,001-50,000"
Brighstone Village Museum,SE,Isle of Wight,Isle of Wight,Rural,Museums & Art Galleries,Museum and / or Art Gallery,870,900,1020,1100,1250,Free,Free,"10,000 or less"
The Collection,EM,Lincolnshire,Lincoln,Urban,Museums & Art Galleries,Museum and / or Art Gallery,80358,90544,110384,120000,140000,Free,Free,"100,001-200,000"
The Control Tower Museum,EAST,SUFFOLK,Suffolk Coastal,Rural,Museums & Art Galleries,Museum and / or Art Gallery,4000,6000,6500,6500,6250,Free,Free,"10,000 or less"
The Courtauld Gallery,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,218844,213470,281228,239040,238099,Paid,£5.00 to £7.49,"Over 200,000"
The Courts,SW,Wiltshire,Wiltshire,Rural,Gardens,Garden,45128,45392,45359,51279,53971,Paid,£5.00 to £7.49,"50,001-100,000"
The Deep,Y&H,East Riding of Yorkshire,Kingston upon Hull,Urban,Wildlife,Safari Park / Zoo / Aquarium / Aviary,310654,326637,349646,460443,398387,Paid,£10.00 or over,"Over 200,000"
The Devon Guild of Craftsmen,SW,Devon,Teignbridge,Rural,Museums & Art Galleries,Museum and / or Art Gallery,99675,100574,110001,110839,115518,Free,Free,"100,001-200,000"
The Donkey Sanctuary,SW,Devon,East Devon,Coastal,Farms,Farm / Rare Breeds / Farm Animals,190000,173500,223000,280583,320157,Free,Free,"Over 200,000"
The Foxton Inclined Plane Trust,EM,Leicestershire,Market Harborough,Rural,Museums & Art Galleries,Museum and / or Art Gallery,8762,8767,9877,11402,9207,Paid,£3.01 to £4.99,"10,000 or less"
The George Muller Foundation Museum,SW,Bristol,City of Bristol,Urban,Museums & Art Galleries,Museum and / or Art Gallery,510,587,558,918,1156,Free,Free,"10,000 or less"
The Guildhall,EM,Leicestershire,Leicester,Urban,Historic Properties,Other Historic Property,30609,44860,166941,64198,78161,Free,Free,"50,001-100,000"
The Helicopter Museum,SW,Somerset,North Somerset,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,25000,25000,27000,25000,26000,Paid,£5.00 to £7.49,"20,001-50,000"
The Hepworth Wakefield,Y&H,West Yorkshire,WAKEFIELD,Urban,Museums & Art Galleries,Museum and / or Art Gallery,351163,387840,30654,206000,185000,Free,Free,"100,001-200,000"
The Homewood,SE,Surrey,Elmbridge,Urban,Historic Properties,Historic House / House and Garden / Palace,1530,2251,1956,2114,2014,Paid,£7.50 to £9.99,"10,000 or less"
The Hornby Visitor Centre,SE,Kent,Thanet,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,34916,34828,34459,33400,30500,Paid,£5.00 to £7.49,"20,001-50,000"
The Infirmary,WM,Worcestershire,Worcester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4567,5021,5358,5871,6969,Free,Free,"10,000 or less"
The Jane Austen Centre,SW,Somerset,Bath and North East Somerset,Urban,Visitor Centres,Heritage / Visitor Centre,58883,58979,61356,55749,46685,Paid,£7.50 to £9.99,"20,001-50,000"
The Levant Mine and Beam Engine,SW,Cornwall,Cornwall,Coastal,Historic Properties,Other Historic Property,21134,22500,22693,22456,31588,Paid,Charge - DK,"20,001-50,000"
The Lightbox,SE,Surrey,Woking,Urban,Museums & Art Galleries,Museum and / or Art Gallery,49000,75900,82300,89981,95000,Paid,£5.00 to £7.49,"50,001-100,000"
The Look Out Discovery Centre,SE,Berkshire,Bracknell Forest,Rural,Museums & Art Galleries,Science / Technology Centre,120280,126443,142324,150956,158401,Paid,£5.00 to £7.49,"100,001-200,000"
"The Priory Church, Bridlington",Y&H,EAST RIDING OF YORKSHIRE,East Riding of Yorkshire,Coastal,Places of Worship,Place of Worship (still in use),2000,2000,2000,2000,2000,Free,Free,"10,000 or less"
The Moors National Park Centre,Y&H,NORTH YORKSHIRE,Scarborough,Rural,Visitor Centres,Heritage / Visitor Centre,107304,93772,91654,93855,103390,Free,Free,"100,001-200,000"
The Muckleburgh Collection,EAST,Norfolk,North Norfolk,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,30883,27342,29202,26505,28346,Paid,£10.00 or over,"20,001-50,000"
The Museum in the Park,SW,Gloucestershire,Stroud,Rural,Museums & Art Galleries,Museum and / or Art Gallery,52000,55468,53802,57355,55344,Free,Free,"50,001-100,000"
The Museum of Bath Architecture,SW,Somerset,Bath,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2809,4343,4644,4933,5765,Paid,£5.00 to £7.49,"10,000 or less"
The Museum of Lancashire,NW,Lancashire,Preston,Urban,Museums & Art Galleries,Museum and / or Art Gallery,14270,34668,31037,40581,29738,Free,Free,"20,001-50,000"
The Museum of Somerset Within Taunton Castle,SW,Somerset,Taunton,Rural,Museums & Art Galleries,Museum and / or Art Gallery,59654,62345,65696,77174,109160,Free,Free,"100,001-200,000"
The Museum of Wigan,NW,Greater Manchester,Wigan,Urban,Museums & Art Galleries,Museum and / or Art Gallery,16789,21322,23456,24000,24000,Free,Free,"20,001-50,000"
The Museum of Witchcraft,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,30000,25273,24222,30000,35200,Paid,£5.00 to £7.49,"20,001-50,000"
The Natural History Museum at Tring,EAST,Hertfordshire,Dacorum,Urban,Museums & Art Galleries,Museum and / or Art Gallery,126316,147565,150453,158539,152944,Free,Free,"100,001-200,000"
Chart Gunpowder Mill,SE,Kent,Swale,Urban,Historic Properties,Other Historic Property,1045,816,1028,1044,1004,Free,Free,"10,000 or less"
The Needles Old Battery & New Battery,SE,Isle of Wight,Isle of Wight,Coastal,Historic Properties,Castle / Fort,60484,51664,53954,53939,51500,Paid,£5.00 to £7.49,"50,001-100,000"
The Observatory Science Centre,SE,East Sussex,Wealden,Rural,Museums & Art Galleries,Science / Technology Centre,59418,58267,57978,62171,63656,Paid,£7.50 to £9.99,"50,001-100,000"
The Old Smithy & Heritage Centre,EM,Lincolnshire,North Lincolnshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,310,285,181,134,158,Paid,Under £3.00,"10,000 or less"
The Old Station,SW,West Sussex,,Rural,Railways,Steam / Heritage Railway,80876,85678,90000,100000,122000,Free,Free,"100,001-200,000"
Culbone Church,SW,Somerset,West Somerset,Rural,Places of Worship,Place of Worship (still in use),3090,3454,3000,2765,1500,Free,Free,"10,000 or less"
The Peace Museum,Y&H,West Yorkshire,Bradford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,300,9000,1013,1484,1085,Free,Free,"10,000 or less"
The Pen Museum,WM,West Midlands,Birmingham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10876,11543,12082,10310,9793,Paid,Under £3.00,"10,000 or less"
The Piddington Roman Villa Museum,EM,Northamptonshire,Northampton,Rural,Museums & Art Galleries,Museum and / or Art Gallery,750,789,834,890,950,Paid,£3.01 to £4.99,"10,000 or less"
The Poppy Line (North Norfolk Railway),EAST,Norfolk,North Norfolk,Coastal,Other,Other Historic / Scenic transport operator,150497,148220,158700,161064,165908,Paid,£10.00 or over,"100,001-200,000"
The Potteries Museum & Art Gallery,WM,Staffordshire,Stoke-on-Trent,Urban,Museums & Art Galleries,Museum and / or Art Gallery,147953,146016,151229,138368,139519,Free,Free,"100,001-200,000"
St Mary's Church,SW,Somerset,West Somerset,Rural,Places of Worship,Place of Worship (still in use),3765,3876,4000,3465,1500,Free,Free,"10,000 or less"
Tom Brown's School Museum,SE,Oxfordshire,Vale of White Horse,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1245,1232,1321,1433,986,Free,Free,"10,000 or less"
The Red House - Aldeburgh,EAST,Suffolk,Suffolk Coastal,Coastal,Historic Properties,Historic House / House and Garden / Palace,3060,4532,5818,4690,5901,Free,Free,"10,000 or less"
The Ropewalk,EM,Lincolnshire,North Lincolnshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,41403,42760,78412,106861,107531,Free,Free,"100,001-200,000"
The Rum Story,NW,Cumbria,Copeland,Coastal,Visitor Centres,Heritage / Visitor Centre,32508,28704,9876,5925,5498,Paid,£5.00 to £7.49,"10,000 or less"
The Ruskin Museum,NW,Cumbria,South Lakeland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,11687,11836,11784,10404,11346,Paid,£5.00 to £7.49,"10,001-20,000"
The Sculpture Park,SE,Surrey,Waverley,Rural,Museums & Art Galleries,Museum and / or Art Gallery,12344,13455,15678,17299,16606,Paid,£10.00 or over,"10,001-20,000"
The Sedgwick Museum of Earth Sciences,EAST,Cambridgeshire,Cambridge,Urban,Museums & Art Galleries,Museum and / or Art Gallery,109811,107462,124739,103513,126000,Free,Free,"100,001-200,000"
The Shoe Museum,SW,Somerset,Mendip,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4983,5101,5754,6845,7190,Free,Free,"10,000 or less"
The Stained Glass Museum,EAST,Cambridgeshire,East Cambridgeshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,16405,16109,17578,16676,18876,Paid,£3.01 to £4.99,"10,001-20,000"
The Tank Museum,SW,Dorset,Purbeck,Rural,Museums & Art Galleries,Museum and / or Art Gallery,162000,157000,167543,172776,191134,Paid,£10.00 or over,"100,001-200,000"
The Temple,LON,GREATER LONDON,,Urban,Country Parks,Country Park,8754,8766,9760,10319,10184,Free,Free,"10,001-20,000"
Swalcliffe Barn,SE,Oxfordshire,Cherwell,Rural,Museums & Art Galleries,Museum and / or Art Gallery,820,1010,949,891,914,Free,Free,"10,000 or less"
The Vulcan Experiance,Y&H,South Yorkshire,Doncaster,Urban,Visitor Centres,Heritage / Visitor Centre,6700,7665,5445,6368,14356,Paid,£10.00 or over,"10,001-20,000"
The Weir Garden,WM,Herefordshire,Herefordshire,Rural,Gardens,Garden,24082,22345,20268,20532,22949,Paid,£5.00 to £7.49,"20,001-50,000"
The Wernher Collection at Ranger's House,LON,Greater London,Greenwich,Urban,Historic Properties,Historic House / House and Garden / Palace,2028,1622,1885,1847,2158,Paid,£5.00 to £7.49,"10,000 or less"
Thinktank,WM,WEST MIDLANDS,Birmingham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,197704,185796,256251,257077,261181,Paid,£10.00 or over,"Over 200,000"
Thirsk Museum,Y&H,NORTH YORKSHIRE,Hambleton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1348,1359,1314,1942,5013,Free,Free,"10,000 or less"
Thornbury and District Museum,SW,Gloucestershire,South Gloucestershire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,5340,4685,4769,4777,4523,Free,Free,"10,000 or less"
Thorney Heritage Museum,EAST,Cambridgeshire,Peterborough,Rural,Museums & Art Galleries,Museum and / or Art Gallery,562,707,400,770,846,Free,Free,"10,000 or less"
Thwaite Mills Watermill,Y&H,WEST YORKSHIRE,Leeds,Urban,Museums & Art Galleries,Museum and / or Art Gallery,25000,26766,29887,35133,37442,Paid,£3.01 to £4.99,"20,001-50,000"
Tilbury Fort,EAST,Essex,Thurrock,Coastal,Historic Properties,Castle / Fort,10380,10554,12101,16154,14402,Paid,£3.01 to £4.99,"10,001-20,000"
Tilgate Park and Nature Centre,SE,West Sussex,Crawley,Urban,Country Parks,Country Park,456765,487998,500000,550000,500000,Paid,Under £3.00,"Over 200,000"
Tintagel Castle,SW,Cornwall,Cornwall,Coastal,Historic Properties,Castle / Fort,198218,174167,192162,190406,193038,Paid,£5.00 to £7.49,"100,001-200,000"
Tintagel Old Post Office,SW,Cornwall,Cornwall,Coastal,Historic Properties,Historic House / House and Garden / Palace,46717,43444,44501,43188,46350,Paid,£3.01 to £4.99,"20,001-50,000"
Tintinhull Garden,SW,Somerset,South Somerset,Rural,Gardens,Garden,26017,25444,23000,22000,21000,Paid,£7.50 to £9.99,"20,001-50,000"
Old Brook Pumping Station,SE,Kent,Medway,Urban,Workplace,Industrial / Craft Workplace,398,390,421,464,649,Free,Free,"10,000 or less"
